River	Filter_Type	Volume_filtered_ml	Sample_ID	pcr	Result
Fu	Sterivex	600	Fu V_1	qPCR	1
Fu	Sterivex	600	Fu V_1	qPCR	1
Fu	Sterivex	600	Fu V_1	qPCR	1
Fu	Sterivex	600	Fu V_1	qPCR	1
Fu	Sterivex	600	Fu VI_1	qPCR	1
Fu	Sterivex	600	Fu VI_1	qPCR	1
Fu	Sterivex	600	Fu VI_1	qPCR	1
Fu	Sterivex	600	Fu VI_1	qPCR	1
Fu	Sterivex	600	Fu VI_1	qPCR	1
Wi RON	Sterivex	300	Wi RON I_1	qPCR	0
Wi RON	Sterivex	300	Wi RON I_1	qPCR	0
Wi RON	Sterivex	300	Wi RON II_1	qPCR	0
Wi RON	Sterivex	300	Wi RON II_1	qPCR	0
Wi RON	Sterivex	300	Wi RON II_1	qPCR	0
Wi RON	Sterivex	300	Wi RON II_1	qPCR	0
Wi RON	Sterivex	300	Wi RON II_1	qPCR	0
Wi RON	Sterivex	300	Wi RON I_2	qPCR	0
Wi RON	Sterivex	300	Wi RON I_2	qPCR	0
Wi RON	Sterivex	300	Wi RON I_2	qPCR	0
Wi RON	Sterivex	300	Wi RON I_2	qPCR	0
Wi RON	Sterivex	300	Wi RON I_2	qPCR	0
Wi RON	Sterivex	300	Wi RON II_2	qPCR	0
Wi RON	Sterivex	300	Wi RON II_2	qPCR	0
Wi RON	Sterivex	300	Wi RON II_2	qPCR	0
Wi RON	Sterivex	300	Wi RON I_3	qPCR	0
Wi RON	Sterivex	300	Wi RON I_3	qPCR	0
Wi RON	Sterivex	300	Wi RON I_3	qPCR	0
Wi RON	Sterivex	300	Wi RON I_3	qPCR	0
Wi RON	Sterivex	300	Wi RON I_3	qPCR	0
Wi RON	Sterivex	300	Wi RON II_3	qPCR	1
Wi RON	Sterivex	300	Wi RON II_3	qPCR	1
Wi RON	Sterivex	300	Wi RON II_3	qPCR	1
Wi RON	Sterivex	300	Wi RON II_3	qPCR	1
Wi RON	Sterivex	300	Wi RON II_3	qPCR	1
Wi RON	Sterivex	300	Wi RON I_4	qPCR	0
Wi RON	Sterivex	300	Wi RON I_4	qPCR	0
Wi RON	Sterivex	300	Wi RON I_4	qPCR	0
Wi RON	Sterivex	300	Wi RON I_4	qPCR	0
Wi RON	Sterivex	300	Wi RON I_4	qPCR	0
Wi RON	Sterivex	300	Wi RON II_4	qPCR	0
Wi RON	Sterivex	300	Wi RON II_4	qPCR	0
Wi RON	Sterivex	300	Wi RON II_4	qPCR	0
Wi RON	Sterivex	300	Wi RON II_4	qPCR	0
Wi RON	Sterivex	300	Wi RON II_4	qPCR	0
Wi RON	Sterivex	600	Wi RON V_1	qPCR	0
Wi RON	Sterivex	600	Wi RON V_1	qPCR	0
Wi RON	Sterivex	600	Wi RON V_1	qPCR	0
Wi RON	Sterivex	600	Wi RON V_1	qPCR	0
Wi RON	Sterivex	600	Wi RON V_1	qPCR	0
Wi RON	Sterivex	600	Wi RON VI_1	qPCR	0
Wi RON	Sterivex	600	Wi RON VI_1	qPCR	0
Wi RON	Sterivex	600	Wi RON VI_1	qPCR	0
Wi RON	Sterivex	600	Wi RON VI_1	qPCR	0
Wi RON	Sterivex	600	Wi RON VI_1	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_1	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_1	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_1	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_1	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_1	qPCR	1
Wi ROT	Sterivex	300	Wi ROT I_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_2	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT I_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT I_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT I_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_3	qPCR	1
Wi ROT	Sterivex	300	Wi ROT II_3	qPCR	1
AA	Millex	200	AA_6_30_I_Millex	qPCR	0
AA	Millex	200	AA_6_30_I_Millex	qPCR	0
AA	Millex	200	AA_6_30_I_Millex	qPCR	0
AA	Millex	200	AA_6_30_I_Millex	qPCR	0
AA	Millex	200	AA_6_30_I_Millex	qPCR	0
AA	Millex	200	AA_6_30_II_Millex	qPCR	0
AA	Millex	200	AA_6_30_II_Millex	qPCR	0
AA	Millex	200	AA_6_30_II_Millex	qPCR	0
AA	Millex	200	AA_6_30_II_Millex	qPCR	0
AA	Millex	200	AA_6_30_II_Millex	qPCR	0
AA	Millex	300	AA_7_7_I_Millex	qPCR	0
AA	Millex	300	AA_7_7_I_Millex	qPCR	0
AA	Millex	300	AA_7_7_I_Millex	qPCR	0
AA	Millex	300	AA_7_7_I_Millex	qPCR	0
AA	Millex	300	AA_7_7_I_Millex	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT I_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_4	qPCR	0
Wi ROT	Sterivex	300	Wi ROT II_4	qPCR	0
Wi ROT	Sterivex	600	Wi ROT V_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT V_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT V_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT V_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT V_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT VI_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT VI_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT VI_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT VI_1	qPCR	1
Wi ROT	Sterivex	600	Wi ROT VI_1	qPCR	1
AA	Millex	300	AA_7_7_II_Millex	qPCR	0
AA	Millex	300	AA_7_7_II_Millex	qPCR	0
AA	Millex	300	AA_7_7_II_Millex	qPCR	0
AA	Millex	300	AA_7_7_II_Millex	qPCR	0
AA	Millex	300	AA_7_14_III_Millex	qPCR	1
AA	Millex	300	AA_7_14_III_Millex	qPCR	0
AA	Millex	300	AA_7_14_III_Millex	qPCR	0
AA	Millex	300	AA_7_14_III_Millex	qPCR	1
AA	Millex	300	AA_7_14_III_Millex	qPCR	0
AA	Millex	300	AA_7_14_IV_Millex	qPCR	0
AA	Millex	300	AA_7_14_IV_Millex	qPCR	0
AA	Millex	300	AA_7_14_IV_Millex	qPCR	0
AA	Millex	300	AA_7_14_IV_Millex	qPCR	0
AA	Millex	300	AA_7_14_IV_Millex	qPCR	0
AA	Millex	300	AA_7_21_III_Millex	qPCR	1
AA	Millex	300	AA_7_21_III_Millex	qPCR	1
AA	Millex	300	AA_7_21_III_Millex	qPCR	1
AA	Millex	300	AA_7_21_III_Millex	qPCR	1
AA	Millex	300	AA_7_21_III_Millex	qPCR	1
AA	Millex	300	AA_7_21_IV_Millex	qPCR	1
AA	Millex	300	AA_7_21_IV_Millex	qPCR	1
AA	Millex	300	AA_7_21_IV_Millex	qPCR	1
AA	Millex	300	AA_7_21_IV_Millex	qPCR	1
AA	Millex	300	AA_7_21_IV_Millex	qPCR	1
AA	Millex	300	AA_7_27_III_Millex	qPCR	0
AA	Millex	300	AA_7_27_III_Millex	qPCR	0
AA	Millex	300	AA_7_27_III_Millex	qPCR	0
AA	Millex	300	AA_7_27_III_Millex	qPCR	0
AA	Millex	300	AA_7_27_III_Millex	qPCR	0
AA	Millex	300	AA_7_27_IV_Millex	qPCR	1
AA	Millex	300	AA_7_27_IV_Millex	qPCR	1
AA	Millex	300	AA_7_27_IV_Millex	qPCR	1
AA	Millex	300	AA_7_27_IV_Millex	qPCR	1
Ly	Millex	300	Ly_6_30_I_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_I_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_I_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_I_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_I_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_II_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_II_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_II_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_II_Millex	qPCR	0
Ly	Millex	300	Ly_6_30_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_I_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_I_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_I_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_I_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_I_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_7_II_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_III_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_III_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_III_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_III_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_III_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_IV_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_IV_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_IV_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_IV_Millex	qPCR	0
Ly	Millex	300	Ly_7_14_IV_Millex	qPCR	0
Ly	Millex	300	Ly_7_21_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_21_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_III_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_IV_Millex	qPCR	1
Ly	Millex	300	Ly_7_27_IV_Millex	qPCR	1
U	Millex	300	U_6_30_I_Millex	qPCR	1
U	Millex	300	U_6_30_I_Millex	qPCR	1
U	Millex	300	U_6_30_I_Millex	qPCR	1
U	Millex	300	U_6_30_I_Millex	qPCR	1
U	Millex	300	U_6_30_I_Millex	qPCR	1
U	Millex	300	U_6_30_II_Millex	qPCR	1
U	Millex	300	U_6_30_II_Millex	qPCR	1
U	Millex	300	U_6_30_II_Millex	qPCR	1
U	Millex	300	U_6_30_II_Millex	qPCR	1
U	Millex	300	U_6_30_II_Millex	qPCR	1
U	Millex	300	U_7_7_I_Millex	qPCR	1
U	Millex	300	U_7_7_I_Millex	qPCR	0
U	Millex	300	U_7_7_I_Millex	qPCR	1
U	Millex	300	U_7_7_I_Millex	qPCR	0
U	Millex	300	U_7_7_I_Millex	qPCR	1
U	Millex	300	U_7_7_II_Millex	qPCR	1
U	Millex	300	U_7_7_II_Millex	qPCR	1
U	Millex	300	U_7_7_II_Millex	qPCR	1
U	Millex	300	U_7_7_II_Millex	qPCR	1
U	Millex	300	U_7_7_II_Millex	qPCR	1
U	Millex	300	U_7_14_III_Millex	qPCR	0
U	Millex	300	U_7_14_III_Millex	qPCR	0
U	Millex	300	U_7_14_III_Millex	qPCR	0
U	Millex	300	U_7_14_III_Millex	qPCR	0
U	Millex	300	U_7_14_III_Millex	qPCR	0
U	Millex	300	U_7_14_IV_Millex	qPCR	1
U	Millex	300	U_7_14_IV_Millex	qPCR	1
U	Millex	300	U_7_14_IV_Millex	qPCR	1
U	Millex	300	U_7_14_IV_Millex	qPCR	1
U	Millex	300	U_7_14_IV_Millex	qPCR	1
U	Millex	250	U_7_21_III_Millex	qPCR	0
U	Millex	250	U_7_21_III_Millex	qPCR	0
U	Millex	250	U_7_21_III_Millex	qPCR	0
U	Millex	250	U_7_21_III_Millex	qPCR	0
U	Millex	250	U_7_21_III_Millex	qPCR	1
U	Millex	250	U_7_21_IV_Millex	qPCR	1
U	Millex	250	U_7_21_IV_Millex	qPCR	1
U	Millex	250	U_7_21_IV_Millex	qPCR	1
U	Millex	250	U_7_21_IV_Millex	qPCR	1
U	Millex	250	U_7_21_IV_Millex	qPCR	1
U	Millex	300	U_7_27_III_Millex	qPCR	0
U	Millex	300	U_7_27_III_Millex	qPCR	0
U	Millex	300	U_7_27_III_Millex	qPCR	0
U	Millex	300	U_7_27_III_Millex	qPCR	0
U	Millex	300	U_7_27_III_Millex	qPCR	0
U	Millex	300	U_7_27_IV_Millex	qPCR	1
U	Millex	300	U_7_27_IV_Millex	qPCR	1
U	Millex	300	U_7_27_IV_Millex	qPCR	1
U	Millex	300	U_7_27_IV_Millex	qPCR	1
U	Millex	300	U_7_27_IV_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_I_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_I_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_I_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_I_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_I_Millex	qPCR	1
Fu	Millex	300	Fu_6_30_II_Millex	qPCR	0
Fu	Millex	300	Fu_6_30_II_Millex	qPCR	0
Fu	Millex	300	Fu_6_30_II_Millex	qPCR	0
Fu	Millex	300	Fu_6_30_II_Millex	qPCR	0
Fu	Millex	300	Fu_6_30_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_7_I_Millex	qPCR	1
Fu	Millex	300	Fu_7_7_I_Millex	qPCR	1
Fu	Millex	300	Fu_7_7_I_Millex	qPCR	1
Fu	Millex	300	Fu_7_7_I_Millex	qPCR	1
Fu	Millex	300	Fu_7_7_I_Millex	qPCR	1
Fu	Millex	300	Fu_7_7_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_7_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_7_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_7_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_7_II_Millex	qPCR	0
Fu	Millex	300	Fu_7_14_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_14_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_21_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_III_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_IV_Millex	qPCR	1
Fu	Millex	300	Fu_7_27_IV_Millex	qPCR	1
Wi RON	Millex	300	Wi RON_6_30_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_6_30_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_I_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_7_II_Millex	qPCR	0
Wi RON	Millex	300	Wi RON_7_14_III_Millex	qPCR	1
